movieId,mean,count,title
171011,4.483096085409253,1124,Planet Earth II (2016)
159817,4.464796794504865,1747,Planet Earth (2006)
318,4.413576004516335,81482,"Shawshank Redemption, The (1994)"
170705,4.398598820058997,1356,Band of Brothers (2001)
171495,4.3267148014440435,277,Cosmos
858,4.324336165187245,52498,"Godfather, The (1972)"
179135,4.289833080424886,659,Blue Planet II (2017)
50,4.284353213163313,55366,"Usual Suspects, The (1995)"
198185,4.267361111111111,288,Twin Peaks (1989)
1221,4.2617585117585115,34188,"Godfather: Part II, The (1974)"
