movieId,rating,title,genres
1,3.893707794587238,Toy Story (1995),"adventure, animation, children, comedy, fantasy"
6,3.854908898649748,Heat (1995),"action, crime, thriller"
11,3.6571705198920315,"American President, The (1995)","comedy, drama, romance"
16,3.8237068028689416,Casino (1995),"crime, drama"
17,3.948806325713417,Sense and Sensibility (1995),"drama, romance"
21,3.5701620505454055,Get Shorty (1995),"comedy, crime, thriller"
25,3.677304434479322,Leaving Las Vegas (1995),"drama, romance"
26,3.606708513142409,Othello (1995),drama
28,4.03,Persuasion (1995),"drama, romance"
29,3.936724864539434,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","adventure, drama, fantasy, mystery, sci-fi"
30,3.6367924528301887,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"crime, drama"
32,3.9057678412037236,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),"mystery, sci-fi, thriller"
34,3.6031917599186163,Babe (1995),"children, drama"
36,3.91868681658758,Dead Man Walking (1995),"crime, drama"
40,3.6267252195734003,"Cry, the Beloved Country (1995)",drama
41,3.843413033286451,Richard III (1995),"drama, war"
47,4.0791663372598626,Seven (a.k.a. Se7en) (1995),"mystery, thriller"
50,4.284353213163313,"Usual Suspects, The (1995)","crime, mystery, thriller"
53,3.6496350364963503,Lamerica (1994),"adventure, drama"
58,3.9679004101879234,"Postman, The (Postino, Il) (1994)","comedy, drama, romance"
59,3.56353591160221,"Confessional, The (Confessionnal, Le) (1995)","drama, mystery"
62,3.715354676022366,Mr. Holland's Opus (1995),drama
69,3.5583216456287987,Friday (1995),comedy
73,3.796035568729159,"Misérables, Les (1995)","drama, war"
80,3.7495145631067963,"White Balloon, The (Badkonake sefid) (1995)","children, drama"
82,3.9923513986013988,Antonia's Line (Antonia) (1995),"comedy, drama"
83,3.644320297951583,Once Upon a Time... When We Were Colored (1995),"drama, romance"
96,3.7004504504504503,In the Bleak Midwinter (1995),"comedy, drama"
97,3.9862332695984706,"Hate (Haine, La) (1995)","crime, drama"
101,3.7673501577287065,Bottle Rocket (1996),"adventure, comedy, crime, romance"
110,4.002272573668559,Braveheart (1995),"action, drama, war"
111,4.083479216009336,Taxi Driver (1976),"crime, drama, thriller"
114,3.5891304347826085,Margaret's Museum (1995),drama
115,3.5348837209302326,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)",comedy
116,3.9114285714285715,Anne Frank Remembered (1995),documentary
